-1	qid:1	1:0	2:11.434075	3:13.923245	4:0	5:13.337366	6:7.407669	7:9.361648	8:0	# My Death My Decision logo.png	cs|.my
-1	qid:1	1:0	2:9.153895	3:9.769905	4:0	5:11.384359	6:3.943044	7:0	8:0	# My Son A1 Yoni.jpg	cs|.my
-1	qid:10	1:0	2:0	3:0	4:0	5:0	6:2.773389	7:0	8:14.382497	# Main Street of Dawson City, Yukon (3900543650).jpg	ar|11_أغسطس
-1	qid:100	1:0	2:0	3:0	4:0	5:0	6:15.08573	7:17.719107	8:0	# Takamatsu Soleil1.jpg	fi|aika
-1	qid:100	1:0	2:17.642664	3:0	4:0	5:21.764795	6:15.099391	7:22.18971	8:0	# Aika Online Logo.png	fi|aika
-1	qid:100	1:0	2:20.089645	3:0	4:0	5:0	6:0	7:0	8:0	# Aika.jpg	fi|aika
1	qid:100	1:0	2:0	3:10.785785	4:0	5:0	6:16.047516	7:0	8:0	# Morning Musume 20100703 Japan Expo 05.jpg	fi|aika
1	qid:100	1:0	2:18.691381	3:0	4:0	5:0	6:15.5267315	7:0	8:0	# Ando aika.jpg	fi|aika
0	qid:100	1:0	2:0	3:0	4:0	5:0	6:15.979381	7:21.642202	8:0	# AikaLogo.jpg	fi|aika
-1	qid:100	1:0	2:14.313395	3:15.142912	4:0	5:18.237251	6:19.596022	7:14.649026	8:0	# Karry Aika China 2015-04-08.jpg	fi|aika
1	qid:100	1:0	2:17.919004	3:0	4:0	5:21.48066	6:0	7:0	8:0	# Aika Kamimura.jpg	fi|aika
-1	qid:100	1:0	2:17.90533	3:17.78244	4:0	5:20.885487	6:21.670929	7:0	8:0	# AIKA Sign.png	fi|aika
-1	qid:100	1:0	2:12.850396	3:0	4:9.404649	5:19.17764	6:18.78095	7:0	8:0	# Statue of Väinö Linna. Caption says "aika velikultia". - panoramio.jpg	fi|aika
-1	qid:1000	1:0	2:0	3:15.208391	4:0	5:0	6:0	7:0	8:0	# Bloody Ridge Memorial 2009.jpg	en|korean war
0	qid:1000	1:0	2:12.237932	3:0	4:0	5:20.75589	6:18.367727	7:0	8:0	# Blue Ridge Honor Flight visits Korean War Memorial 160924-D-NU123-0009.jpg	en|korean war
0	qid:1000	1:12.765879	2:16.189728	3:8.795952	4:0	5:20.69305	6:10.910549	7:13.66637	8:0	# Korean and Vietnam War memorial 20190328.jpg	en|korean war
-1	qid:1000	1:6.917349	2:0	3:0	4:0	5:0	6:12.145002	7:8.398822	8:0	# 50 Mun - Keijo Pusan Railway Company (1900) 02.jpg	en|korean war
-1	qid:1001	1:0	2:0	3:0	4:0	5:0	6:21.05864	7:0	8:0	# Payo Solá - 1962.jpg	cs|Korn_(album)
-1	qid:1002	1:0	2:0	3:0	4:0	5:0	6:0	7:13.89052	8:0	# Jan Wnek Model.jpg	pl|kraków
-1	qid:1002	1:0	2:0	3:7.311631	4:0	5:0	6:6.5439334	7:7.9715085	8:0	# 20200525 Gołąb grzywacz w Krakowie 1614 1886.jpg	pl|kraków
1	qid:1002	1:0	2:0	3:6.7058315	4:0	5:0	6:7.5814695	7:0	8:0	# Krakow Klasztor Norbertanek.jpg	pl|kraków
1	qid:1002	1:0	2:0	3:8.958051	4:0	5:0	6:8.2051115	7:8.627639	8:0	# Day of Independence (17).jpg	pl|kraków
-1	qid:1002	1:6.4292045	2:9.780024	3:0	4:10.82475	5:10.941604	6:10.191913	7:16.388609	8:0	# Nowy stadion Wisły Kraków.jpg	pl|kraków
0	qid:1002	1:0	2:8.811485	3:4.410569	4:0	5:11.512384	6:9.405001	7:0	8:0	# 2015 Kraków, Wawel, Baszta Senatorska 01.jpg	pl|kraków
